lang,stopword
tn,jalo
tn,jalo-pele
tn,ka
tn,kae
tn,kanti
tn,ke
tn,kgotsa
tn,kwa
tn,le
tn,leina
tn,mara
tn,mme
tn,mo
tn,mongwe
tn,mos
tn,mxm
tn,neh
tn,neh?
tn,okes
tn,oky
tn,re
tn,reetsa
tn,sa
tn,sharp
tn,sho
tn,tsa
tn,tseo
tn,tsotlhe
tn,vele
tn,wena
tn,ya
tn,yazi
tn,yoh
ts,aight
ts,aweh
ts,ayt
ts,bra
ts,eish
ts,haibo
ts,hambileswi
ts,heh
ts,heita
ts,hi
ts,hi-xo
ts,hikuva
ts,hina
ts,hinkwenu
ts,howzit
ts,ka
ts,kambe
ts,kanti
ts,ku
ts,leswi
ts,leswi-lexi
ts,leswiya
ts,lexi
ts,loko
ts,mara
ts,mina
ts,mos
ts,mxm
ts,n'wina
ts,na
ts,namuntlha
ts,neh
ts,neh?
ts,nkarhi
ts,ntsena
ts,ntsena-ke
ts,ntsena-lo
ts,okes
ts,oky
ts,sharp
ts,sho
ts,swa
ts,sweswi
ts,sweswo
ts,swilo
ts,swo
ts,tano
ts,vele
ts,vona
ts,wena
ts,xona
ts,yazi
ts,yena
ts,yoh
ve,aight
ve,aweh
ve,aya
ve,ayt
ve,bra
ve,dza
ve,dzine
ve,eish
ve,ene
ve,ha
ve,haibo
ve,havha
ve,heh
ve,heita
ve,hezwi
ve,hone
ve,howzit
ve,hune
ve,iwe
ve,iya
ve,izwi
ve,kanti
ve,kha
ve,mara
ve,mos
ve,mxm
ve,na
ve,naa
ve,neh
ve,neh?
ve,nga
ve,ni
ve,nne
ve,okes
ve,oky
ve,ri
ve,sharp
ve,sho
ve,tshi
ve,u
ve,vele
ve,vha
ve,vhathu
ve,vhone
ve,wena
ve,ya
ve,yazi
ve,yoh
ve,zwa
ve,zwavhuya
ve,zwavhuḓi
ve,zwi
ve,zwine
ve,zwino
ve,zwo
xh,aight
xh,apha
xh,apho
xh,apho-ke
xh,aweh
xh,ayt
xh,bona
xh,bra
xh,eish
xh,ezi
xh,ezo
xh,haibo
xh,heh
xh,heita
xh,howzit
xh,kanti
xh,ke
xh,khona
xh,kodwa
xh,konke
xh,kuba
xh,kunye
xh,kwaye
xh,le
xh,lena
xh,leyo
xh,mara
xh,mhlawumbi
xh,mna
xh,mos
xh,mxm
xh,nala
xh,nali
xh,nanga
xh,nango
xh,nangona
xh,nantsi
xh,neh
xh,neh?
xh,ngoko
xh,ngoku
xh,nina
xh,nje
xh,njengoko
xh,okanye
xh,okes
xh,oko
xh,oku
xh,oky
xh,rhoqo
xh,sharp
xh,sho
xh,thina
xh,ukuba
xh,ukuze
xh,vele
xh,wabo
xh,wakhe
xh,wakho
xh,wam
xh,wena
xh,wenu
xh,wethu
xh,yazi
xh,yena
xh,yoh
zu,aight
zu,aweh
zu,ayt
zu,bona
zu,bra
zu,eish
zu,futhi
zu,haibo
zu,heh
zu,heita
zu,howzit
zu,kanti
zu,kanye
zu,ke
zu,khona
zu,kodwa
zu,konke
zu,kube
zu,kuthi
zu,la
zu,lapha
zu,lapho
zu,lapho-ke
zu,le
zu,leli
zu,leyo
zu,lezi
zu,lezo
zu,lokho
zu,lokhu
zu,lokhuya
zu,lona
zu,manje
zu,mara
zu,mina
zu,mos
zu,mxm
zu,nalapha
zu,nalapho
zu,nalena
zu,naleso
zu,nanka
zu,nanku
zu,nansi
zu,neh
zu,neh?
zu,ngabe
zu,nge
zu,ngoba
zu,ngoba-ke
zu,nina
zu,njalo
zu,nje
zu,njengoba
zu,noma
zu,okes
zu,okukhulu
zu,okuncane
zu,okungcono
zu,okungenani
zu,okunye
zu,okuthi
zu,oky
zu,pho
zu,sharp
zu,sho
zu,thina
zu,ukuthi
zu,ukuze
zu,uma
zu,vele
zu,wabo
zu,wakhe
zu,wakho
zu,wami
zu,wena
zu,wenu
zu,wethu
zu,yazi
zu,yena
zu,yoh
af,kom
af,geweet
af,huis
af,me
af,jullie
af,spring
af,us
af,we
af,liewe
af,wees
af,langs
af,rondom
af,binne
af,buite
af,bo
af,agter
af,deur
af,tydens
af,gedurende
af,vir
af,oor
af,onder
af,hoe
af,moet
af,moes
af,wil
af,het
af,gehad
af,gewees
af,gedoen
af,gegaan
af,gekom
af,gesien
af,gehoor
af,geweet
af,gekry
af,meeste
af,al
af,alle
af,sommige
af,ander
af,al
af,omdat
af,sodat
af,terwyl
af,hoe
af,he
af,him
af,his
af,she
af,her
af,it
af,they
af,them
af,their
af,this
af,that
af,these
af,those
af,i
af,you
af,your
af,mine
af,our
af,ours
af,sê
af,hou
af,mis
af,andrew
af,wen
af,gekyk
af,swak
af,noem
af,gedink
af,snaaks
af,faai
af,hvl
af,bokskryt
af,boksring
af,bokser
af,eintlik
af,nek
af,uitgeknock
af,stilstaan
af,gaan
af,jammer
af,bietjie
af,raak
af,neeeefok
af,probeer
af,nose
af,voel
af,gebloei
af,weg
af,legend
af,banggat
af,yes
af,well
af,to
af,but
af,why
af,said
af,anc
af,proud
af,super
af,real
af,true
af,guy
af,man
af,maak
af,asb
af,kzn
af,dis
af,lieve
af,mij
af,jij
af,zuid
af,onze
af,soos
af,nje
af,boy
af,haal
af,stil
af,nhe
af,dink
af,haai
af,hahahahaha
af,reg
af,lekke
af,hoor
af,goed
af,vielik
af,rik
af,tik
af,jytaybe
af,aangehou
af,paar
af,gat
